-antamuksesta
-emäntä
-jouni
-jouniki
-kerran
-muori
-märkinä
-nimistä
-raito
-saamista
-tavaraa
-tavaraaki
-tuhanttenki
-valmhiina
-vettä
-vuosisattoinki
-öinäki
a:lla
aalkhaan
aalkkan
aallot
aamuharthauksen
aamukankkeile
aamukuuðeltä
aamuseittemheen
aamusinisen
aapale
aapan
aapantemppui
aapasta
aapat
aappa
aappekatit
aapphan
aarentin
aarestissa
aaroltä
aaroni-äiji
aaroni-äijin
aaronii
aaronille
aaronin
aarretta
aatteli
aber
achnell
ahðistava
ahjoon
ahkiisheen
ahkinjan
ahkkiin
ahkkiista
ahmijat
ahtaat
ahtauðessa
aihetta
aijaat
aijoittain
aijosta
aijä
aikaakaan
aikaankin
aikaisemat
aikansa
aikanset
aikhaa
aikhan
aikhoi
aikka
aikkaan
aikkain
aikkhaan
aikkoissa
aikkovat
aikkovatko
aikoinans
ailattellen
ailattellevat
ailattelthiin
ailigaisen
ailikaisen
ailikasvuoma
ainoan
aio
aioit
aiothiin
aitiruðon
aiva
ajain
ajakhoon
ajala
ajasta
ajatelhtiin
ajatellehan
ajatellessa
ajateltiin
ajateltuksi
ajattamhan
ajattelehankhaan
ajattelehanki
ajattelevainen
ajattelkaa
ajattelkkaa
ajattella
ajattellevaa
ajattellu
ajattelluu
ajattelukyky
ajattteli
ajatuksiin
ajatuksin
ajella
ajetaa
ajethim
ajethin
ajettii
ajjavan
ajjoila
ajoisa
ajoma
akkansa
akkarivuonosa
akkusativ
akrobaatti
alaattiin
alaattiinlaiset
alaattiisa
alaattiissen
alaattilainen
alaattin
alaattissa
alaetiin
alaistomat
alaiston
alaksanteri
alakuisessa
alakuloisemaksi
alakuloisemanki
alakuloisena
alakuloisina
alakulosena
alalummassa
alapoulele
alapäästa
alaslähtemisen
alaslähtemistä
alaslähtijät
alaslähtijöile
alaslähtijöilä
alasmennijöile
alasmennijöitten
alasräknäminen
alastulleissa
alastullijat
alattian
alattiassa
alattihjan
alattiisen
alattin
albärtti
aldarjokkee
aldarjoven
aleenttuut
aleksanteri
aleksanteriki
aleksanteriksi
aleksanterilla
aleksanterille
aleksanterin
alemmaksi
alemuuskompleksiiki
aleta
alhaalakäimisestä
alhaalakävvijät
alhaaltatullijat
alhala
alhalla
alipuolella
alipuolelta
alistunheet
alituinen
alituiseksi
alituisen
alituisesti
alituista
alkaap
alkaat
alkanheethaan
alkanhet
alkeksanteri
alkkaissa
alkkavan
alkkavat
alko
alkukyrsi
alkukyrsin
alkurukouksen
allekhaan
allekäsi
alon
alt
altan
alusa
am
amheesen
amhen
amhuun
ammunan
ammunta
ammunttaa
ammunttaaki
ammuskele
ammuskelehan
ammuskelhan
ammuskeli
ammuskelin
ammuskella
ammuskellu
ammustanheet
ammustethiin
ammuta
